project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2004791,AWAKE.CHACHITA.CAM18,Cam18_Chachita,-77.31511,5.66469,2022-12-12 00:00:00,2023-01-17 00:00:00,None,,Carcass,,2051551,18,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004791,MANGLAR,Cam15_Chachita,-77.31326,5.66453,2022-12-10 00:00:00,2023-01-17 00:00:00,None,,Carcass,,2051540,15,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004791,Parque de las raices,Cam12_Chachita,-77.31286,5.66256,2022-12-10 00:00:00,2023-01-17 00:00:00,None,,Carcass,,2051544,12,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
