project_id,deployment_id,image_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license
2004797,AWE-SELVAMOJADA-CAM1,0ccfeb09-215b-4441-84e8-c2c717cc8cab,12090008.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/0ccfeb09-215b-4441-84e8-c2c717cc8cab.JPG,0,Diego Lizcano,32c0147f-1967-4644-b107-8133ae1f020a,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,,2022-12-09 19:44:17,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,9f468b9a-04b0-4c17-9f0f-73d221ae888d,12090009.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/9f468b9a-04b0-4c17-9f0f-73d221ae888d.JPG,0,Diego Lizcano,32c0147f-1967-4644-b107-8133ae1f020a,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,,2022-12-09 19:44:18,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,1f5869af-4782-4147-84f9-17c36175d650,12090010.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/1f5869af-4782-4147-84f9-17c36175d650.JPG,0,Diego Lizcano,32c0147f-1967-4644-b107-8133ae1f020a,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,,2022-12-09 19:44:19,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,ddda0906-c407-4dfc-bf03-2b65af01ca16,12090011.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/ddda0906-c407-4dfc-bf03-2b65af01ca16.JPG,0,Diego Lizcano,32c0147f-1967-4644-b107-8133ae1f020a,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,,2022-12-09 19:44:20,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,15135793-5a73-4a93-ad6b-1edf893e4a9f,12090012.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/15135793-5a73-4a93-ad6b-1edf893e4a9f.JPG,0,Diego Lizcano,32c0147f-1967-4644-b107-8133ae1f020a,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,,2022-12-09 19:44:21,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,d9da78af-332c-43ee-9dd5-ed8a99e72251,12090013.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/d9da78af-332c-43ee-9dd5-ed8a99e72251.JPG,0,Diego Lizcano,07843615-e1fc-49d8-9821-fd1d7ff2e773,Mammalia,Cingulata,Dasypodidae,Dasypus,novemcinctus,Nine-banded Armadillo,,2022-12-09 19:47:16,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,978effa2-175e-49b5-83bc-5b8e0c743837,12090014.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/978effa2-175e-49b5-83bc-5b8e0c743837.JPG,0,Diego Lizcano,07843615-e1fc-49d8-9821-fd1d7ff2e773,Mammalia,Cingulata,Dasypodidae,Dasypus,novemcinctus,Nine-banded Armadillo,,2022-12-09 19:47:17,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,aeedb9cf-c503-43fb-9aee-2876c366bff2,12090015.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/aeedb9cf-c503-43fb-9aee-2876c366bff2.JPG,0,Diego Lizcano,07843615-e1fc-49d8-9821-fd1d7ff2e773,Mammalia,Cingulata,Dasypodidae,Dasypus,novemcinctus,Nine-banded Armadillo,,2022-12-09 19:47:18,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,04775037-24f9-4098-9400-2804b39bae6c,12090016.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/04775037-24f9-4098-9400-2804b39bae6c.JPG,0,Diego Lizcano,07843615-e1fc-49d8-9821-fd1d7ff2e773,Mammalia,Cingulata,Dasypodidae,Dasypus,novemcinctus,Nine-banded Armadillo,,2022-12-09 19:47:19,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,900d8524-937b-4610-ac3a-99f7d8999ed0,12090017.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/900d8524-937b-4610-ac3a-99f7d8999ed0.JPG,0,Diego Lizcano,07843615-e1fc-49d8-9821-fd1d7ff2e773,Mammalia,Cingulata,Dasypodidae,Dasypus,novemcinctus,Nine-banded Armadillo,,2022-12-09 19:47:20,1,,,,,,,false,,,CC-BY-NC
