project_id,deployment_id,sequence_id,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,start_time,end_time,group_size,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license
2004791,MANGLAR,5262765,0,Diego Lizcano,89d41ec3-af8a-438a-86dd-4a6cb1819f07,Mammalia,Pilosa,Myrmecophagidae,Tamandua,tetradactyla,Southern Tamandua,,2022-12-19 23:17:16,2022-12-19 23:17:23,1,,,,,,,,,,CC-BY-NC
2004791,Parque de las raices,5262748,0,Diego Lizcano,25248c94-2e54-4c9d-9939-0d8800296747,Mammalia,Pilosa,Myrmecophagidae,Tamandua,mexicana,Northern Tamandua,,2022-12-31 21:46:53,2022-12-31 21:46:59,1,,,,,,,,,,CC-BY-NC
2004791,Parque de las raices,5262738,0,Diego Lizcano,c56031a6-f8ce-4929-b6eb-b5253d4e1cdc,Mammalia,Carnivora,Procyonidae,Procyon,cancrivorus,Crab-eating Raccoon,,2022-12-14 03:37:02,2022-12-14 03:37:09,1,,,,,,,,,,CC-BY-NC
2004791,Parque de las raices,5262751,0,Diego Lizcano,c56031a6-f8ce-4929-b6eb-b5253d4e1cdc,Mammalia,Carnivora,Procyonidae,Procyon,cancrivorus,Crab-eating Raccoon,,2023-01-03 20:41:39,2023-01-03 20:42:36,1,,,,,,,,,,CC-BY-NC
2004791,MANGLAR,5262766,0,Diego Lizcano,9212982e-8a58-4775-a6ac-e9a43110d8f5,Mammalia,Carnivora,Felidae,Felis,catus,Domestic Cat,,2022-12-26 23:35:52,2022-12-26 23:35:54,1,,,,,,,,,,CC-BY-NC
2004791,Parque de las raices,5262754,0,Diego Lizcano,c56031a6-f8ce-4929-b6eb-b5253d4e1cdc,Mammalia,Carnivora,Procyonidae,Procyon,cancrivorus,Crab-eating Raccoon,,2023-01-09 03:04:44,2023-01-09 03:04:46,1,,,,,,,,,,CC-BY-NC
2004791,MANGLAR,5262779,0,Diego Lizcano,ad05b76c-8b77-4892-89eb-38d6c46d02d1,Aves,Pelecaniformes,Ardeidae,Nyctanassa,violacea,Yellow-crowned Night-heron,,2023-01-08 18:06:49,2023-01-08 18:06:59,1,,,,,,,,,,CC-BY-NC
2004791,MANGLAR,5262780,0,Diego Lizcano,b1352069-a39c-4a84-a949-60044271c0c1,Aves,,,,,Bird,,2023-01-09 18:15:19,2023-01-09 18:15:22,1,,,,,,,,,,CC-BY-NC
2004791,MANGLAR,5262775,0,Diego Lizcano,07c593cb-bfa3-4cdd-9cdf-403f0c3e62ed,Aves,Pelecaniformes,Ardeidae,,,Ardeidae Family,,2023-01-07 09:23:29,2023-01-07 09:23:43,1,,,,,,,,,,CC-BY-NC
2004791,MANGLAR,5262777,0,Diego Lizcano,b1352069-a39c-4a84-a949-60044271c0c1,Aves,,,,,Bird,,2023-01-07 18:31:25,2023-01-07 18:31:27,1,,,,,,,,,,CC-BY-NC
2004791,MANGLAR,5262778,0,Diego Lizcano,b1352069-a39c-4a84-a949-60044271c0c1,Aves,,,,,Bird,,2023-01-08 17:36:16,2023-01-08 17:36:18,1,,,,,,,,,,CC-BY-NC
2004791,Parque de las raices,5262755,0,Diego Lizcano,f2d233e3-80e3-433d-9687-e29ecc7a467a,Mammalia,,,,,Mammal,,2023-01-10 04:16:59,2023-01-10 04:17:32,1,,,,,,,,,,CC-BY-NC
2004791,Parque de las raices,5262753,0,Diego Lizcano,4eae4c62-e867-465a-a1f3-536791efa6c4,Aves,Galliformes,Phasianidae,,,Phasianidae Family,,2023-01-07 17:54:16,2023-01-07 17:54:27,1,,,,,,,,,,CC-BY-NC
2004791,AWAKE.CHACHITA.CAM18,5267826,0,Diego Lizcano,837e12c2-f30c-4875-afeb-32d51938f139,Aves,Galliformes,,,,Galliformes Order,,2023-01-14 15:35:20,2023-01-14 15:35:23,1,,,,,,,,,,CC-BY-NC
2004791,Parque de las raices,5262742,0,Diego Lizcano,033f2ecb-bf36-4ce1-bf3f-7efcd71fe374,Aves,Gruiformes,Rallidae,Aramides,cajaneus,Grey-necked Wood-rail,,2022-12-17 08:01:18,2022-12-17 08:01:34,1,,,,,,,,,,CC-BY-NC
2004791,AWAKE.CHACHITA.CAM18,5267832,0,Diego Lizcano,89851bea-765b-431a-bb03-6f821931ebdc,Aves,Galliformes,Phasianidae,Gallus,gallus,Red Junglefowl,,2022-12-18 12:55:10,2022-12-18 12:55:10,1,,,,,,,,,,CC-BY-NC
2004791,AWAKE.CHACHITA.CAM18,5267836,0,Diego Lizcano,9880b662-dc21-453b-aa2f-dd97338f623b,Mammalia,Rodentia,Muridae,,,Muridae Family,,2022-12-19 02:04:05,2022-12-19 02:04:06,1,,,,,,,,,,CC-BY-NC
2004791,AWAKE.CHACHITA.CAM18,5267834,0,Diego Lizcano,9880b662-dc21-453b-aa2f-dd97338f623b,Mammalia,Rodentia,Muridae,,,Muridae Family,,2022-12-19 02:07:36,2022-12-19 02:07:38,1,,,,,,,,,,CC-BY-NC
